Time,Document Name,Sentiment Value
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_30.txt,-0.9999992251396179
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_31.txt,-0.9999993443489075
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_32.txt,-0.9999992847442627
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_33.txt,-0.9999992847442627
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_34.txt,-0.9999979734420776
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_35.txt,-0.9999976754188538
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_36.txt,-0.9999983906745911
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_37.txt,-0.9999974966049194
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_38.txt,-0.9999989867210388
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_39.txt,-0.9999910593032837
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_4.txt,-0.9999989867210388
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_5.txt,-0.9999822974205017
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_6.txt,-0.9999753832817078
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_7.txt,-0.9999882578849792
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_8.txt,-0.9999902844429016
2014-12,translated_20141231_[COMPANY_2]_10011435-001_360660_002001_page_9.txt,-0.9999791383743286
Unknown,translated_2015-09 Kommentar [COMPANY_3]_page_1.txt,-0.43465232849121094
Unknown,translated_2015-09 Kommentar [COMPANY_3]_page_2.txt,0.8986379504203796
Unknown,translated_2015-09 Kommentar [COMPANY_3]_page_3.txt,0.9912594556808472
Unknown,translated_2015-09 Kommentar [COMPANY_3]_page_4.txt,0.9240953326225281
Unknown,translated_2015-09 Kommentar [COMPANY_3]_page_5.txt,-0.6828655004501343
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_1.txt,-0.9999884366989136
2015-08,translated_2015-09 [COMPANY_3] Vermögensausweis_page_10.txt,-0.9999809265136719
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_11.txt,-0.999992311000824
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_12.txt,-0.999997615814209
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_13.txt,-0.9999977350234985
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_14.txt,-0.9999960064888
2015-12,translated_2015-09 [COMPANY_3] Vermögensausweis_page_15.txt,-0.9999990463256836
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_16.txt,-0.999998927116394
2024-04,translated_2015-09 [COMPANY_3] Vermögensausweis_page_17.txt,-0.9999988079071045
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_18.txt,-0.9999985694885254
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_19.txt,-0.9999982118606567
Unknown,translated_2015-09 [COMPANY_3] Vermögensausweis_page_2.txt,-0.9999985098838806
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_20.txt,-0.9999986886978149
2024-10,translated_2015-09 [COMPANY_3] Vermögensausweis_page_21.txt,-0.9999986290931702
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_22.txt,-0.9999988079071045
2016-12,translated_2015-09 [COMPANY_3] Vermögensausweis_page_23.txt,-0.9999980926513672
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_24.txt,-0.999998927116394
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_25.txt,-0.9999986886978149
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_26.txt,-0.9999991655349731
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_27.txt,-0.9999992847442627
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_28.txt,-0.9999989867210388
2015-10,translated_2015-09 [COMPANY_3] Vermögensausweis_page_29.txt,-0.9999986290931702
Unknown,translated_2015-09 [COMPANY_3] Vermögensausweis_page_3.txt,-0.9999889135360718
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_30.txt,-0.9999990463256836
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_31.txt,-0.9999991059303284
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_32.txt,-0.9999975562095642
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_33.txt,-0.9999973177909851
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_34.txt,-0.999997615814209
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_35.txt,-0.9999983310699463
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_36.txt,-0.9999983906745911
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_37.txt,-0.9999875426292419
2015-09,translated_2015-09 [COMPANY_3] Vermögensausweis_page_4.txt,-0.9999986886978149
2015-08,translated_2015-09 [COMPANY_3] Vermögensausweis_page_5.txt,-0.999973475933075
2015-06,translated_2015-09 [COMPANY_3] Vermögensausweis_page_6.txt,-0.9999756813049316
2015-08,translated_2015-09 [COMPANY_3] Vermögensausweis_page_7.txt,-0.9999865293502808
2015-04,translated_2015-09 [COMPANY_3] Vermögensausweis_page_8.txt,-0.9999845027923584
2015-05,translated_2015-09 [COMPANY_3] Vermögensausweis_page_9.txt,-0.9999840259552002
2015-12,translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_1.txt,-0.019262630492448807
2015-12,translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_2.txt,0.8854935765266418
2015-12,translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_3.txt,0.4278070628643036
2015-12,translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_4.txt,0.3486386239528656
2015-12,translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_5.txt,0.011182784102857113
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_1.txt,-0.9999876618385315
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_10.txt,-0.9999825358390808
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_11.txt,-0.9999947547912598
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_12.txt,-0.9999983906745911
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_13.txt,-0.9999971389770508
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_14.txt,-0.9999961256980896
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_15.txt,-0.9999990463256836
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_16.txt,-0.9999982118606567
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_17.txt,-0.9999986886978149
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_18.txt,-0.9999987483024597
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_19.txt,-0.9999986290931702
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_2.txt,-0.9999984502792358
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_20.txt,-0.9999985694885254
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_21.txt,-0.9999982118606567
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_22.txt,-0.9999986886978149
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_23.txt,-0.9999988079071045
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_24.txt,-0.9999983310699463
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_25.txt,-0.9999988675117493
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_26.txt,-0.9999991059303284
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_27.txt,-0.9999987483024597
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_28.txt,-0.9999990463256836
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_29.txt,-0.9999990463256836
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_3.txt,-0.9999881982803345
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_30.txt,-0.9999992251396179
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_31.txt,-0.9999991059303284
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_32.txt,-0.9999975562095642
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_33.txt,-0.9999978542327881
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_34.txt,-0.9999980330467224
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_35.txt,-0.9999988675117493
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_36.txt,-0.9999871850013733
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_4.txt,-0.9999986290931702
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_5.txt,-0.9999715685844421
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_6.txt,-0.9999752044677734
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_7.txt,-0.9999815821647644
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_8.txt,-0.9999824166297913
2015-12,translated_20151231_[COMPANY_2]_10011435-001_3110005_000001_page_9.txt,-0.99998539686203
2016-12,translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_1.txt,-0.09786515682935715
2016-12,translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_2.txt,-1.2131054972996935e-05
2016-12,translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_3.txt,-0.0006244946853257716
2016-12,translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_4.txt,-0.03133077919483185
2016-12,translated_2016-12-31 [COMPANY_1]_Performancebegründung_page_5.txt,-0.24196840822696686
2016-03,translated_20160331_[COMPANY_2]_Performancebegründung_page_1.txt,0.5637220740318298
2016-03,translated_20160331_[COMPANY_2]_Performancebegründung_page_2.txt,0.002375738462433219
2016-03,translated_20160331_[COMPANY_2]_Performancebegründung_page_3.txt,0.0007045753300189972
2016-03,translated_20160331_[COMPANY_2]_Performancebegründung_page_4.txt,0.690842866897583
