structure,type,seas_adj,date,value
ks_i63_index_q_hist,index,na,1994-01-01,-7.144451737392713
ks_i63_index_q_hist,index,na,1994-04-01,-1.6745246926409447
ks_i63_index_q_hist,index,na,1994-07-01,-3.3083416302503834
ks_i63_index_q_hist,index,na,1994-10-01,-4.928791584704455
ks_i63_index_q_hist,index,na,1995-01-01,-16.33448494796937
ks_i63_index_q_hist,index,na,1995-04-01,-9.742310863681707
ks_i63_index_q_hist,index,na,1995-07-01,-10.627091568130485
ks_i63_index_q_hist,index,na,1995-10-01,-12.512987678408878
ks_i63_index_q_hist,index,na,1996-01-01,-18.98145507140704
ks_i63_index_q_hist,index,na,1996-04-01,-23.162657781648825
ks_i63_index_q_hist,index,na,1996-07-01,-27.33895175514965
ks_i63_index_q_hist,index,na,1996-10-01,-20.291577879284777
ks_i63_index_q_hist,index,na,1997-01-01,-16.096535661388902
ks_i63_index_q_hist,index,na,1997-04-01,-12.457611244491728
ks_i63_index_q_hist,index,na,1997-07-01,-5.136631971926982
ks_i63_index_q_hist,index,na,1997-10-01,-4.928185596836329
ks_i63_index_q_hist,index,na,1998-01-01,-2.6201116943588847
ks_i63_index_q_hist,index,na,1998-04-01,2.4091785176790594
ks_i63_index_q_hist,index,na,1998-07-01,6.662737889776433
ks_i63_index_q_hist,index,na,1998-10-01,3.0050756680096655
ks_i63_index_q_hist,index,na,1999-01-01,2.2998147452269158
ks_i63_index_q_hist,index,na,1999-04-01,1.1192396903966846
ks_i63_index_q_hist,index,na,1999-07-01,3.6788411417000435
ks_i63_index_q_hist,index,na,1999-10-01,7.133921855522131
ks_i63_index_q_hist,index,na,2000-01-01,15.619929332849491
ks_i63_index_q_hist,index,na,2000-04-01,12.481316839764176
ks_i63_index_q_hist,index,na,2000-07-01,11.684208713908887
ks_i63_index_q_hist,index,na,2000-10-01,6.028697772393144
ks_i63_index_q_hist,index,na,2001-01-01,10.565793800585304
ks_i63_index_q_hist,index,na,2001-04-01,6.584007089991051
ks_i63_index_q_hist,index,na,2001-07-01,2.0092784425779593
ks_i63_index_q_hist,index,na,2001-10-01,-20.35033994298559
ks_i63_index_q_hist,index,na,2002-01-01,-0.25892727382264763
