"Index","Alpha (annualisiert)","Value/Growth","Small/Large","Momentum","Volatility"
"2016-11-30 12:00:00",0.0105571547168014,0.00950002668387148,0.114334279851257,0.0247460120087326,0.0486920920043148
"2016-12-31 12:00:00",0.00591142117224302,0.0584458280711518,0.0762055168651416,0.0366655780503222,0.0709348092746754
"2017-01-31 12:00:00",0.017806404756134,-0.0433405619319218,0.0678792001316172,0.0256766085572998,0.0510878171626684
"2017-02-28 12:00:00",0.0262636909030537,-0.118112714668467,0.0312410402364893,-0.0107075116982172,0.0325658397209252
"2017-03-31 12:00:00",0.0260948826461034,-0.128951682734372,-0.0126110670965133,-0.026695526168161,0.029342915096972
"2017-04-30 12:00:00",0.0264968345130512,-0.206900356406687,0.0243071842206042,-0.031777067980916,0.0234386544578868
"2017-05-31 12:00:00",0.0239168111074125,-0.127365092237431,0.083473149213865,0.0160457174495706,0.0368353355100491
"2017-06-30 12:00:00",0.0311902499660496,-0.159243818442775,0.136870630131037,0.0311551785788947,0.0283746987853905
"2017-07-31 12:00:00",0.0324828307316473,-0.158111825603219,0.133851336395429,0.0361323773125577,0.0307752858422748
"2017-08-31 12:00:00",0.0480841770458141,-0.200166449438942,0.190779319481929,-0.000884443694401137,-0.032065297619434
"2017-09-30 12:00:00",0.0474942473212783,-0.205938616329286,0.194853808814916,-0.00855607160518336,-0.0349362481191546
"2017-10-31 12:00:00",0.0509922339676653,-0.220395616635714,0.15693594254252,0.0117821198843149,-0.0137264391926267
"2017-11-30 12:00:00",0.0394370791817855,-0.205081751967638,0.0719925652182316,0.00496198352693942,0.0232827510690652
"2017-12-31 12:00:00",0.0391014586363247,-0.197161947898941,0.103406059407543,0.0275012561906907,0.00308169174767722
"2018-01-31 12:00:00",0.0399187304029399,-0.144484048964193,0.136138793078919,0.0102578464283977,-0.021298221750086
"2018-02-28 12:00:00",0.0291992182117486,-0.11865589290769,0.065873943361196,0.02047815637796,0.0266314822947856
"2018-03-31 12:00:00",0.0299995483808824,-0.143693711880636,0.0969669983406861,0.00990846660442826,0.0497303028622301
"2018-04-30 12:00:00",0.033989200280548,-0.131645696574637,0.1151262051363,-0.013285636537361,0.0395245089534875
"2018-05-31 12:00:00",0.0342603054964056,-0.112003845139089,0.098890271242984,-0.00877817412583466,0.0415175487790173
"2018-06-30 12:00:00",0.0313905134127808,-0.159077208260007,0.101107218494859,-0.0632834428830571,0.0400432514911046
"2018-07-31 12:00:00",0.0345176123715967,-0.170397258507552,0.0464917279166776,-0.0848642813432613,0.0686666741257894
"2018-08-31 12:00:00",0.0297704320428225,-0.125847051700079,0.0345786022966434,-0.0591749665738244,0.0580222473249543
"2018-09-30 12:00:00",0.02430070928033,-0.161208224958573,0.02706697813323,-0.0984223532254094,0.0537589341204377
"2018-10-31 12:00:00",0.0143334193230008,-0.2039707085951,0.0634729844489569,-0.0923418191685446,0.0893398920140033
"2018-11-30 12:00:00",0.00713486722511644,-0.194885441187279,0.132423865758794,-0.0763390349819799,0.0928375768493444
"2018-12-31 12:00:00",0.00632144425659806,-0.224408137035854,0.116053242522831,-0.0621293292657769,0.0419320622518017
"2019-01-31 12:00:00",0.00213774070770305,-0.185636564736256,0.0825401900947611,0.00394958794490578,0.0417797870001446
